term;translation;context
achieve;достигать;She worked hard to achieve her goals.
stubborn;упрямый;My little brother is so stubborn.
die Erfahrung;опыт;Er hat viel Erfahrung in diesem Bereich.
reliable;надёжный;This car is old but very reliable.
die Gelegenheit;возможность;Das war eine gute Gelegenheit.
to postpone;откладывать;Let's postpone the meeting until Friday.
die Rücksicht;внимательность, тактичность;Nimm Rücksicht auf andere.
generous;щедрый;He is generous with his time and money.
die Ausdauer;выносливость;Marathon runners need a lot of Ausdauer.
to overwhelm;переполнять, ошеломлять;The amount of work overwhelmed her.
